diametro(mm),cimento,areia ,pedrisco,brita
25,100,100,100,100
19,100,100,100,96.84
12.5,100,99.75,99.06,45.01
9.5,100,78.37,91.14,8.75
6.3,100,51.83,46.29,0.269999999999996
4.75,100,32.59,26.28,0.0699999999999932
2.36,100,8.57000000000001,1.3,0.039999999999992
1.18,100,1.63000000000001,1.3,0.039999999999992
0.6,100,0,1.3,0.039999999999992
0.3,100,0,1.3,0.039999999999992
0.15,100,0,1.3,0.039999999999992
0.14,100,0,0.00999999999999091,0
0.112,100,0,0,0
0.09,100,0,0,0
0.063,99.99,0,0,0
0.06,99.95,0,0,0
0.056,99.83,0,0,0
0.05,99.56,0,0,0
0.045,98.97,0,0,0
0.04,97.71,0,0,0
0.036,96.35,0,0,0
0.032,93.58,0,0,0
0.03,92.2,0,0,0
0.025,86.68,0,0,0
0.02,78.57,0,0,0
0.015,67.85,0,0,0
0.012,59.92,0,0,0
0.01,54.01,0,0,0
0.008,47.38,0,0,0
0.006,39.76,0,0,0
0.005,35.42,0,0,0
0.004,30.67,0,0,0
0.0032,26.49,0,0,0
0.003,25.35,0,0,0
0.0026,22.94,0,0,0
0.002,18.57,0,0,0
0.001,8.11,0,0,0
0.0007,3.36,0,0,0
0.0005,0,0,0,0
